minutes,   1-BEALEMST & HOWARD ST W-FS,   2-MAIN ST & HOWARD ST E-NS/,   3-FREMONT ST&MARKET ST E-NS,   4-MARKET ST&SANSOME ST W-FS,   5-MARKET ST&MONTGOMERY ST W,   6-GEARY BLVD&KEARNY ST NW-F,   7-GEARY BLVD&STOCKTON ST NE,   8-GEARY BLVD&POWELL ST NW-F,   9-GEARY BLVD&LEAVENWORTH ST,  10-GEARY BLVD&VAN NESS AVE N,  11-GEARY BLVD&LAGUNA ST NE-N,  12-GEARY BLVD&FILLMORE ST NW,  13-GEARY BLVD&DIVISADERO ST,  14-GEARY BLVD&PRESIDIO AVE N,  15-GEARY BLVD&SPRUCE ST NE-N,  16-GEARY BLVD&ARGUELLO BLVD,  17-GEARY BLVD&6TH AVE NE-NS/,  18-GEARY BLVD&PARK PRESIDIO,  19-GEARY BLVD&20TH AVE NE-NS,  20-GEARY BLVD&25TH AVE NE-NS,  21-GEARY BLVD&33RD AVE NW-FS,  22-GEARY BLVD&36TH AVE NE-NS,  23-GEARY BLVD&40TH AVE NE-NS,  24-POINT LOBOS AVE&42ND AVE,  25-POINT LOBOS AVE&44TH AVE,  26-POINT LOBOS AVE&46TH AVE,  27-48TH AVE&POINT LOBOS AVE
405,6,7,15,19,27,30,32,36,42,43,42,42,35,32,32,32,30,29,29,28,8,7,6,4,3,3,2
435,6,6,16,20,33,42,44,49,53,55,54,53,45,35,35,33,33,32,31,29,11,8,7,4,3,3,1
465,7,8,16,22,36,41,41,47,54,57,56,55,46,39,38,32,30,29,28,26,9,8,7,4,4,4,2
495,8,9,19,24,36,43,45,53,59,61,60,59,50,47,45,33,30,28,24,22,12,10,10,6,5,5,3
525,5,6,12,17,25,30,31,38,43,45,42,41,33,30,28,24,22,19,17,14,10,9,8,4,4,4,3
555,4,5,11,16,25,32,35,44,48,51,49,49,42,37,36,34,31,27,21,18,12,11,9,5,5,4,3
585,3,4,8,12,18,23,25,32,35,39,36,35,31,29,28,27,24,20,16,13,10,9,8,5,5,5,2
615,3,3,7,10,18,25,27,36,40,43,40,38,34,33,32,31,26,23,18,15,12,10,9,6,5,5,2
645,3,4,8,12,19,24,27,37,39,42,39,39,36,34,34,31,27,24,19,16,12,10,9,6,5,5,2
675,3,4,7,11,17,23,24,34,35,38,36,34,33,31,30,30,27,23,19,15,12,10,8,5,5,4,2
705,3,4,10,15,21,26,30,40,39,42,39,37,36,36,35,33,29,25,20,16,11,9,8,5,5,5,2
735,4,4,9,14,21,28,31,42,44,45,43,41,40,39,38,36,32,27,23,18,14,12,10,7,6,5,2
765,4,4,10,14,22,28,32,41,41,45,43,42,37,36,36,34,30,26,21,17,15,12,10,7,6,6,2
795,4,5,11,15,22,29,33,45,45,48,45,47,43,40,38,37,33,29,23,19,15,12,9,7,5,5,2
825,4,5,11,15,23,28,34,46,47,51,49,50,46,43,43,42,37,33,28,23,19,16,14,11,10,9,5
855,4,4,12,18,26,35,41,54,54,58,57,56,51,49,48,46,41,37,30,23,16,13,10,7,5,5,2
885,5,6,13,20,29,36,42,55,55,58,56,54,51,51,51,48,42,36,32,23,17,14,11,7,5,5,2
915,5,5,12,23,34,44,49,62,62,65,62,60,58,58,57,56,49,42,35,25,19,15,12,9,7,6,3
945,4,4,12,22,33,41,48,62,62,64,63,60,58,55,54,52,44,39,32,23,17,13,10,7,6,5,3
975,6,5,14,23,33,40,46,59,58,62,59,56,56,55,53,51,45,40,33,25,19,15,12,9,7,6,2
1005,6,7,18,27,37,46,53,66,64,67,63,59,60,58,56,54,48,43,36,25,19,15,11,8,6,5,3
1035,8,9,25,41,55,64,70,77,76,76,72,68,65,62,59,56,48,43,34,25,18,14,10,7,6,5,3
1065,8,9,22,39,53,61,67,76,75,74,69,64,61,59,56,52,46,40,33,23,16,14,11,8,7,6,4
1095,7,8,21,35,52,62,68,77,76,77,73,67,62,59,56,51,44,38,29,21,15,12,9,6,6,5,3
1125,7,8,21,35,52,62,68,77,76,77,73,67,62,59,56,51,44,38,29,21,15,12,9,6,6,5,3
1155,7,7,19,31,46,57,64,76,73,73,68,63,60,57,54,49,42,34,26,18,13,10,8,6,5,5,4
1185,4,4,15,26,39,50,55,65,64,64,61,58,54,51,48,45,38,32,26,17,12,9,6,4,3,2,1
1215,3,3,12,24,33,40,46,59,57,58,57,54,52,49,47,43,38,33,26,15,10,8,5,3,3,3,2
1245,3,4,11,18,27,35,40,54,51,50,48,46,44,42,40,37,30,25,20,13,8,6,4,3,2,2,1
